,flatterrain,stepterrain,high_friction,low_friction
MPC,3.983426717368843e-07,1.3864616542356023,1.8824694542729503e-05,6.20569614095956e-06
CAMPC,3.156607917365051e-05,0.001241277883086589,4.3465658634112e-05,3.203527013972973e-05
